step,topk=1,topk=3,topk=5,provenance
56,0.123656,0.127006,0.199235,reconstructed_from_paper
57,0.129398,0.133107,0.215116,reconstructed_from_paper
58,0.133758,0.140315,0.190149,reconstructed_from_paper
59,0.147089,0.120476,0.217281,reconstructed_from_paper
60,0.129545,0.127736,0.218045,reconstructed_from_paper
61,0.129024,0.123070,0.204037,reconstructed_from_paper
62,0.131051,0.126955,0.220996,reconstructed_from_paper
63,0.129499,0.141001,0.208252,reconstructed_from_paper
64,0.121825,0.152986,0.199001,reconstructed_from_paper
65,0.148840,0.134049,0.234128,reconstructed_from_paper
66,0.126721,0.126032,0.206291,reconstructed_from_paper
67,0.127447,0.126213,0.194400,reconstructed_from_paper
68,0.126715,0.143172,0.215171,reconstructed_from_paper
69,0.139762,0.145907,0.218426,reconstructed_from_paper
70,0.160665,0.145697,0.232186,reconstructed_from_paper
71,0.161707,0.144316,0.220814,reconstructed_from_paper
72,0.143698,0.132826,0.245547,reconstructed_from_paper
73,0.138354,0.131293,0.237082,reconstructed_from_paper
74,0.135446,0.138653,0.240059,reconstructed_from_paper
75,0.127031,0.146432,0.239690,reconstructed_from_paper
76,0.143238,0.134797,0.256235,reconstructed_from_paper
77,0.136174,0.130856,0.228110,reconstructed_from_paper
78,0.156267,0.151336,0.237327,reconstructed_from_paper
79,0.135415,0.127297,0.233225,reconstructed_from_paper
80,0.129266,0.155377,0.257011,reconstructed_from_paper
81,0.122242,0.131641,0.269809,reconstructed_from_paper
82,0.123225,0.148654,0.283558,reconstructed_from_paper
83,0.145282,0.138723,0.259090,reconstructed_from_paper
84,0.143330,0.154572,0.248381,reconstructed_from_paper
85,0.130312,0.139608,0.271362,reconstructed_from_paper
86,0.127359,0.144992,0.254969,reconstructed_from_paper
87,0.144251,0.148839,0.275387,reconstructed_from_paper
88,0.138982,0.141847,0.265118,reconstructed_from_paper
89,0.144757,0.133748,0.281128,reconstructed_from_paper
90,0.143046,0.140090,0.279506,reconstructed_from_paper
91,0.136640,0.138948,0.277549,reconstructed_from_paper
92,0.128521,0.148906,0.293017,reconstructed_from_paper
93,0.145973,0.114054,0.299412,reconstructed_from_paper
94,0.146169,0.158538,0.298787,reconstructed_from_paper
95,0.147483,0.167611,0.271567,reconstructed_from_paper
96,0.154920,0.150886,0.301715,reconstructed_from_paper
97,0.155302,0.141982,0.306410,reconstructed_from_paper
98,0.142988,0.144160,0.324334,reconstructed_from_paper
99,0.153298,0.142820,0.295931,reconstructed_from_paper
100,0.128873,0.141922,0.305575,reconstructed_from_paper
101,0.155293,0.164206,0.342713,reconstructed_from_paper
102,0.149400,0.131280,0.313905,reconstructed_from_paper
103,0.159499,0.145108,0.308022,reconstructed_from_paper
104,0.159819,0.153234,0.316219,reconstructed_from_paper
105,0.142889,0.141779,0.305538,reconstructed_from_paper
106,0.150848,0.170259,0.328983,reconstructed_from_paper
107,0.162738,0.152399,0.321496,reconstructed_from_paper
108,0.148249,0.156853,0.342062,reconstructed_from_paper
109,0.154461,0.153230,0.319092,reconstructed_from_paper
110,0.148879,0.155347,0.335720,reconstructed_from_paper
111,0.160364,0.150816,0.351434,reconstructed_from_paper
112,0.158314,0.169616,0.320775,reconstructed_from_paper
113,0.148766,0.151047,0.354351,reconstructed_from_paper
114,0.143971,0.152921,0.313542,reconstructed_from_paper
115,0.137382,0.166719,0.329957,reconstructed_from_paper
116,0.165898,0.150645,0.317520,reconstructed_from_paper
117,0.154741,0.178270,0.339979,reconstructed_from_paper
118,0.153146,0.159717,0.316214,reconstructed_from_paper
119,0.155340,0.162040,0.324995,reconstructed_from_paper
120,0.152409,0.179744,0.318766,reconstructed_from_paper
121,0.167645,0.150855,0.348623,reconstructed_from_paper
122,0.167802,0.182092,0.343852,reconstructed_from_paper
123,0.142422,0.159290,0.351328,reconstructed_from_paper
124,0.163206,0.160465,0.332131,reconstructed_from_paper
125,0.165117,0.175467,0.337103,reconstructed_from_paper
126,0.161906,0.183804,0.344413,reconstructed_from_paper
127,0.166499,0.167985,0.366015,reconstructed_from_paper
128,0.181470,0.170940,0.353651,reconstructed_from_paper
129,0.169859,0.170717,0.355392,reconstructed_from_paper
130,0.178571,0.170130,0.367594,reconstructed_from_paper
131,0.177652,0.173980,0.382867,reconstructed_from_paper
132,0.155340,0.173186,0.380619,reconstructed_from_paper
133,0.186020,0.166195,0.379620,reconstructed_from_paper
134,0.172504,0.164930,0.356822,reconstructed_from_paper
135,0.168718,0.153873,0.378713,reconstructed_from_paper
136,0.179732,0.177737,0.357832,reconstructed_from_paper
137,0.193214,0.170316,0.381841,reconstructed_from_paper
138,0.166396,0.178213,0.383007,reconstructed_from_paper
139,0.168121,0.182207,0.351193,reconstructed_from_paper
140,0.178369,0.178540,0.361841,reconstructed_from_paper
141,0.159656,0.185500,0.391153,reconstructed_from_paper
142,0.166472,0.182168,0.381898,reconstructed_from_paper
143,0.177887,0.190258,0.394538,reconstructed_from_paper
144,0.185037,0.180424,0.375323,reconstructed_from_paper
145,0.183947,0.177224,0.389427,reconstructed_from_paper
146,0.187450,0.190181,0.381866,reconstructed_from_paper
147,0.190476,0.173857,0.409731,reconstructed_from_paper
148,0.177370,0.196036,0.383785,reconstructed_from_paper
149,0.178995,0.181156,0.390463,reconstructed_from_paper
150,0.180097,0.181148,0.356546,reconstructed_from_paper
151,0.180801,0.193597,0.372298,reconstructed_from_paper
152,0.194774,0.203793,0.396899,reconstructed_from_paper
153,0.193347,0.179384,0.420160,reconstructed_from_paper
154,0.167432,0.186069,0.387763,reconstructed_from_paper
155,0.191511,0.198430,0.419081,reconstructed_from_paper
156,0.178237,0.215274,0.435757,reconstructed_from_paper
157,0.178554,0.172838,0.383773,reconstructed_from_paper
158,0.201430,0.189938,0.409600,reconstructed_from_paper
159,0.202581,0.188493,0.394691,reconstructed_from_paper
160,0.202055,0.183880,0.408982,reconstructed_from_paper
161,0.198362,0.215878,0.400067,reconstructed_from_paper
162,0.209645,0.200104,0.414952,reconstructed_from_paper
163,0.183445,0.200148,0.388472,reconstructed_from_paper
164,0.202429,0.196014,0.422120,reconstructed_from_paper
165,0.189432,0.211520,0.406933,reconstructed_from_paper
166,0.190930,0.207294,0.422488,reconstructed_from_paper
167,0.182369,0.198670,0.400700,reconstructed_from_paper
168,0.212253,0.197379,0.439208,reconstructed_from_paper
169,0.215450,0.207526,0.428539,reconstructed_from_paper
170,0.208129,0.204121,0.423908,reconstructed_from_paper
171,0.195605,0.195917,0.430531,reconstructed_from_paper
172,0.203509,0.201893,0.406231,reconstructed_from_paper
173,0.193022,0.200704,0.395717,reconstructed_from_paper
174,0.201218,0.219829,0.396162,reconstructed_from_paper
175,0.218486,0.194742,0.388257,reconstructed_from_paper
176,0.220256,0.215591,0.414815,reconstructed_from_paper
177,0.212581,0.211133,0.413046,reconstructed_from_paper
178,0.214523,0.210713,0.386741,reconstructed_from_paper
179,0.207108,0.207716,0.404778,reconstructed_from_paper
180,0.212538,0.223860,0.423813,reconstructed_from_paper
181,0.208572,0.211346,0.405031,reconstructed_from_paper
182,0.215470,0.227498,0.397023,reconstructed_from_paper
183,0.206143,0.220979,0.414731,reconstructed_from_paper
184,0.222086,0.218566,0.421618,reconstructed_from_paper
185,0.211668,0.212539,0.416914,reconstructed_from_paper
186,0.216638,0.219308,0.418722,reconstructed_from_paper
187,0.214475,0.223215,0.435498,reconstructed_from_paper
188,0.230719,0.230739,0.442321,reconstructed_from_paper
189,0.225924,0.211900,0.424268,reconstructed_from_paper
190,0.211194,0.216463,0.414271,reconstructed_from_paper
191,0.210796,0.216191,0.415740,reconstructed_from_paper
192,0.225702,0.219677,0.391979,reconstructed_from_paper
193,0.222348,0.210240,0.402685,reconstructed_from_paper
194,0.220143,0.235228,0.414999,reconstructed_from_paper
195,0.225255,0.241463,0.426251,reconstructed_from_paper
196,0.239375,0.215341,0.404180,reconstructed_from_paper
197,0.224352,0.243514,0.430399,reconstructed_from_paper
198,0.239266,0.227262,0.434497,reconstructed_from_paper
199,0.222597,0.237373,0.442910,reconstructed_from_paper
200,0.225886,0.247332,0.423819,reconstructed_from_paper
201,0.231860,0.233517,0.424055,reconstructed_from_paper
202,0.229295,0.243568,0.422317,reconstructed_from_paper
203,0.226369,0.235278,0.425624,reconstructed_from_paper
204,0.222114,0.239567,0.416364,reconstructed_from_paper
205,0.229756,0.233750,0.421858,reconstructed_from_paper
206,0.230095,0.242559,0.436748,reconstructed_from_paper
207,0.234735,0.242395,0.435877,reconstructed_from_paper
208,0.245326,0.251928,0.423602,reconstructed_from_paper
209,0.241427,0.243940,0.422855,reconstructed_from_paper
210,0.248288,0.231469,0.429063,reconstructed_from_paper
211,0.240554,0.239882,0.412602,reconstructed_from_paper
212,0.243717,0.259905,0.409885,reconstructed_from_paper
213,0.246318,0.240686,0.419490,reconstructed_from_paper
214,0.248148,0.253511,0.419773,reconstructed_from_paper
215,0.251793,0.243663,0.426770,reconstructed_from_paper
216,0.238388,0.254948,0.436965,reconstructed_from_paper
217,0.248360,0.265460,0.430412,reconstructed_from_paper
218,0.247251,0.272495,0.445816,reconstructed_from_paper
219,0.257564,0.243323,0.425768,reconstructed_from_paper
220,0.255048,0.247767,0.442378,reconstructed_from_paper
221,0.243069,0.248113,0.435894,reconstructed_from_paper
222,0.253096,0.250616,0.416013,reconstructed_from_paper
223,0.256690,0.257693,0.425049,reconstructed_from_paper
224,0.251644,0.258727,0.414037,reconstructed_from_paper
225,0.263594,0.270812,0.396905,reconstructed_from_paper
226,0.255484,0.266130,0.443047,reconstructed_from_paper
227,0.242415,0.261388,0.423176,reconstructed_from_paper
228,0.257759,0.264153,0.447776,reconstructed_from_paper
229,0.263069,0.266779,0.404638,reconstructed_from_paper
230,0.249505,0.273451,0.420277,reconstructed_from_paper
231,0.264164,0.283860,0.440907,reconstructed_from_paper
232,0.233577,0.264703,0.433651,reconstructed_from_paper
233,0.278165,0.277885,0.447665,reconstructed_from_paper
234,0.247804,0.272537,0.443458,reconstructed_from_paper
235,0.257139,0.268516,0.412779,reconstructed_from_paper
236,0.259535,0.276425,0.411287,reconstructed_from_paper
237,0.250515,0.266780,0.444492,reconstructed_from_paper
238,0.267065,0.300950,0.417205,reconstructed_from_paper
239,0.256869,0.281899,0.429517,reconstructed_from_paper
240,0.253875,0.273226,0.414249,reconstructed_from_paper
241,0.245982,0.278759,0.428156,reconstructed_from_paper
242,0.274275,0.274261,0.426079,reconstructed_from_paper
243,0.279531,0.277413,0.422471,reconstructed_from_paper
244,0.267228,0.278243,0.430629,reconstructed_from_paper
245,0.272647,0.274489,0.410256,reconstructed_from_paper
246,0.286143,0.273755,0.449277,reconstructed_from_paper
247,0.276101,0.296089,0.425891,reconstructed_from_paper
248,0.283898,0.284881,0.417170,reconstructed_from_paper
249,0.283483,0.292099,0.427536,reconstructed_from_paper
250,0.281990,0.283929,0.413174,reconstructed_from_paper
251,0.280984,0.284153,0.408255,reconstructed_from_paper
252,0.287829,0.285235,0.409340,reconstructed_from_paper
253,0.279942,0.313896,0.425140,reconstructed_from_paper
254,0.280019,0.302467,0.435034,reconstructed_from_paper
255,0.273167,0.301020,0.446246,reconstructed_from_paper
256,0.261651,0.295213,0.424739,reconstructed_from_paper
257,0.273058,0.292392,0.423574,reconstructed_from_paper
258,0.279295,0.301403,0.398885,reconstructed_from_paper
259,0.292676,0.306273,0.423937,reconstructed_from_paper
260,0.280843,0.286140,0.398572,reconstructed_from_paper
261,0.266855,0.290424,0.445382,reconstructed_from_paper
262,0.291932,0.307828,0.430661,reconstructed_from_paper
263,0.297844,0.302580,0.404908,reconstructed_from_paper
264,0.290333,0.299347,0.443097,reconstructed_from_paper
265,0.290975,0.293267,0.395358,reconstructed_from_paper
266,0.291666,0.289558,0.421830,reconstructed_from_paper
267,0.289322,0.296535,0.427566,reconstructed_from_paper
268,0.303573,0.299433,0.429256,reconstructed_from_paper
269,0.284028,0.307259,0.412589,reconstructed_from_paper
270,0.285548,0.313680,0.439120,reconstructed_from_paper
271,0.279881,0.312986,0.408648,reconstructed_from_paper
272,0.289376,0.317806,0.404475,reconstructed_from_paper
273,0.288475,0.307751,0.399009,reconstructed_from_paper
274,0.289615,0.327489,0.407808,reconstructed_from_paper
275,0.298182,0.315719,0.389652,reconstructed_from_paper
276,0.306771,0.318154,0.410245,reconstructed_from_paper
277,0.285550,0.318130,0.410006,reconstructed_from_paper
278,0.299877,0.306741,0.421587,reconstructed_from_paper
279,0.293116,0.329604,0.417136,reconstructed_from_paper
280,0.294177,0.329030,0.414574,reconstructed_from_paper
281,0.296936,0.327525,0.405695,reconstructed_from_paper
282,0.305220,0.322214,0.425364,reconstructed_from_paper
283,0.287831,0.312016,0.414084,reconstructed_from_paper
284,0.317090,0.328074,0.410357,reconstructed_from_paper
285,0.303279,0.324418,0.438542,reconstructed_from_paper
286,0.298158,0.344441,0.412513,reconstructed_from_paper
287,0.290916,0.317837,0.411314,reconstructed_from_paper
288,0.315978,0.321879,0.397942,reconstructed_from_paper
289,0.313352,0.321024,0.424949,reconstructed_from_paper
290,0.315774,0.320914,0.399750,reconstructed_from_paper
291,0.309817,0.317306,0.444007,reconstructed_from_paper
292,0.325012,0.325003,0.413297,reconstructed_from_paper
293,0.324179,0.330777,0.405752,reconstructed_from_paper
294,0.330143,0.349541,0.399838,reconstructed_from_paper
295,0.314407,0.349684,0.440718,reconstructed_from_paper
296,0.320655,0.344743,0.417384,reconstructed_from_paper
297,0.309124,0.324521,0.408479,reconstructed_from_paper
298,0.314349,0.339877,0.414032,reconstructed_from_paper
299,0.311018,0.344259,0.430868,reconstructed_from_paper
300,0.315042,0.343428,0.400398,reconstructed_from_paper
301,0.315864,0.331482,0.413289,reconstructed_from_paper
302,0.316136,0.349250,0.398829,reconstructed_from_paper
303,0.316466,0.337729,0.388912,reconstructed_from_paper
304,0.318662,0.336394,0.422673,reconstructed_from_paper
305,0.314086,0.358250,0.409593,reconstructed_from_paper
306,0.312062,0.350370,0.395502,reconstructed_from_paper
307,0.314864,0.346522,0.403261,reconstructed_from_paper
308,0.325688,0.356644,0.405093,reconstructed_from_paper
309,0.326922,0.342536,0.435926,reconstructed_from_paper
310,0.330877,0.329714,0.410516,reconstructed_from_paper
311,0.343721,0.358957,0.407767,reconstructed_from_paper
312,0.312805,0.347399,0.400762,reconstructed_from_paper
313,0.330462,0.349085,0.406670,reconstructed_from_paper
314,0.311360,0.346579,0.412501,reconstructed_from_paper
315,0.318678,0.368075,0.416258,reconstructed_from_paper
316,0.317085,0.351049,0.374882,reconstructed_from_paper
317,0.325627,0.346151,0.402027,reconstructed_from_paper
318,0.337620,0.338570,0.405309,reconstructed_from_paper
319,0.340156,0.354034,0.413161,reconstructed_from_paper
320,0.329921,0.341083,0.389781,reconstructed_from_paper
321,0.336194,0.355754,0.397241,reconstructed_from_paper
322,0.331790,0.359970,0.407831,reconstructed_from_paper
323,0.317102,0.368831,0.406212,reconstructed_from_paper
324,0.344177,0.357682,0.392750,reconstructed_from_paper
325,0.323935,0.342921,0.383515,reconstructed_from_paper
326,0.325188,0.334068,0.404214,reconstructed_from_paper
327,0.329860,0.358846,0.410354,reconstructed_from_paper
328,0.322253,0.364475,0.412057,reconstructed_from_paper
329,0.325677,0.344711,0.410121,reconstructed_from_paper
330,0.338950,0.375690,0.418078,reconstructed_from_paper
331,0.323853,0.363146,0.386079,reconstructed_from_paper
332,0.327166,0.380834,0.411352,reconstructed_from_paper
333,0.317860,0.353054,0.379727,reconstructed_from_paper
334,0.316810,0.352063,0.398153,reconstructed_from_paper
335,0.337479,0.376630,0.400763,reconstructed_from_paper
336,0.338974,0.375942,0.403228,reconstructed_from_paper
337,0.332168,0.353861,0.402576,reconstructed_from_paper
338,0.351599,0.375228,0.412698,reconstructed_from_paper
339,0.327352,0.374412,0.393462,reconstructed_from_paper
340,0.341664,0.370136,0.403714,reconstructed_from_paper
341,0.330659,0.361991,0.387658,reconstructed_from_paper
342,0.337515,0.366331,0.410591,reconstructed_from_paper
343,0.342825,0.365740,0.413811,reconstructed_from_paper
344,0.326279,0.369516,0.412353,reconstructed_from_paper
345,0.351726,0.370631,0.422518,reconstructed_from_paper
346,0.338737,0.384580,0.384363,reconstructed_from_paper
347,0.340484,0.360686,0.396978,reconstructed_from_paper
348,0.338941,0.394944,0.386070,reconstructed_from_paper
349,0.344143,0.368621,0.415081,reconstructed_from_paper
350,0.329995,0.380083,0.392136,reconstructed_from_paper
351,0.330751,0.364530,0.407541,reconstructed_from_paper
352,0.345356,0.383036,0.408343,reconstructed_from_paper
353,0.340546,0.366200,0.381539,reconstructed_from_paper
354,0.339267,0.399714,0.416615,reconstructed_from_paper
355,0.346262,0.381072,0.410225,reconstructed_from_paper
356,0.357966,0.389339,0.386771,reconstructed_from_paper
357,0.334710,0.383494,0.399774,reconstructed_from_paper
358,0.322077,0.373994,0.397145,reconstructed_from_paper
359,0.341850,0.380854,0.420017,reconstructed_from_paper
360,0.329547,0.390991,0.401489,reconstructed_from_paper
361,0.343391,0.391064,0.414449,reconstructed_from_paper
362,0.337196,0.367196,0.401661,reconstructed_from_paper
363,0.346745,0.390782,0.407279,reconstructed_from_paper
364,0.363732,0.371361,0.386524,reconstructed_from_paper
365,0.346212,0.400882,0.389618,reconstructed_from_paper
366,0.332004,0.393101,0.408999,reconstructed_from_paper
367,0.337668,0.384987,0.397012,reconstructed_from_paper
368,0.338360,0.385959,0.390886,reconstructed_from_paper
369,0.335219,0.383494,0.390545,reconstructed_from_paper
370,0.352906,0.385647,0.382337,reconstructed_from_paper
371,0.350819,0.391898,0.397859,reconstructed_from_paper
372,0.358659,0.388320,0.392055,reconstructed_from_paper
373,0.357292,0.394417,0.388484,reconstructed_from_paper
374,0.348860,0.386966,0.396461,reconstructed_from_paper
375,0.345037,0.401061,0.395825,reconstructed_from_paper
376,0.346065,0.371485,0.399611,reconstructed_from_paper
377,0.350651,0.389946,0.373914,reconstructed_from_paper
378,0.345122,0.393866,0.395181,reconstructed_from_paper
379,0.336953,0.392878,0.372693,reconstructed_from_paper
380,0.373239,0.403208,0.404169,reconstructed_from_paper
381,0.365044,0.388208,0.390204,reconstructed_from_paper
382,0.349926,0.384166,0.412797,reconstructed_from_paper
383,0.348585,0.392686,0.392665,reconstructed_from_paper
384,0.349738,0.389095,0.395127,reconstructed_from_paper
385,0.357408,0.401392,0.400097,reconstructed_from_paper
386,0.350665,0.394693,0.409652,reconstructed_from_paper
387,0.333836,0.384419,0.403216,reconstructed_from_paper
388,0.356586,0.379619,0.396550,reconstructed_from_paper
389,0.359371,0.413271,0.384777,reconstructed_from_paper
390,0.342224,0.388719,0.375200,reconstructed_from_paper
391,0.341873,0.407718,0.418812,reconstructed_from_paper
392,0.354355,0.393650,0.388583,reconstructed_from_paper
393,0.345370,0.393690,0.342002,reconstructed_from_paper
394,0.365102,0.397982,0.391447,reconstructed_from_paper
395,0.363757,0.379032,0.411280,reconstructed_from_paper
396,0.340444,0.389204,0.405168,reconstructed_from_paper
397,0.360780,0.400370,0.391121,reconstructed_from_paper
398,0.343369,0.388552,0.380839,reconstructed_from_paper
399,0.350391,0.389060,0.393359,reconstructed_from_paper
400,0.369436,0.387189,0.388596,reconstructed_from_paper
401,0.354976,0.413878,0.393204,reconstructed_from_paper
402,0.363607,0.399422,0.394993,reconstructed_from_paper
403,0.353920,0.381130,0.384859,reconstructed_from_paper
404,0.376561,0.388448,0.381499,reconstructed_from_paper
405,0.358342,0.401297,0.393600,reconstructed_from_paper
406,0.386502,0.401367,0.376806,reconstructed_from_paper
407,0.363941,0.409076,0.389399,reconstructed_from_paper
408,0.355737,0.400465,0.400947,reconstructed_from_paper
409,0.359905,0.410042,0.371516,reconstructed_from_paper
410,0.357016,0.402888,0.403974,reconstructed_from_paper
411,0.373657,0.403665,0.378333,reconstructed_from_paper
412,0.350255,0.404029,0.414695,reconstructed_from_paper
413,0.368226,0.406725,0.393850,reconstructed_from_paper
414,0.373762,0.395979,0.390590,reconstructed_from_paper
415,0.370465,0.415424,0.414759,reconstructed_from_paper
416,0.348543,0.414259,0.384836,reconstructed_from_paper
417,0.372805,0.407681,0.379869,reconstructed_from_paper
418,0.368850,0.413389,0.409939,reconstructed_from_paper
419,0.371675,0.399173,0.383324,reconstructed_from_paper
420,0.352202,0.410489,0.377961,reconstructed_from_paper
421,0.363147,0.405831,0.389584,reconstructed_from_paper
422,0.372559,0.400874,0.390593,reconstructed_from_paper
423,0.363076,0.410814,0.393791,reconstructed_from_paper
424,0.364123,0.398105,0.399338,reconstructed_from_paper
425,0.358495,0.400335,0.390386,reconstructed_from_paper
426,0.360910,0.411359,0.393345,reconstructed_from_paper
427,0.362898,0.414030,0.418069,reconstructed_from_paper
428,0.386352,0.405195,0.374046,reconstructed_from_paper
429,0.361875,0.402727,0.423172,reconstructed_from_paper
430,0.358441,0.412595,0.380183,reconstructed_from_paper
431,0.353807,0.410675,0.388630,reconstructed_from_paper
432,0.367368,0.410904,0.431550,reconstructed_from_paper
433,0.365349,0.402955,0.406458,reconstructed_from_paper
434,0.359081,0.395147,0.399864,reconstructed_from_paper
435,0.348325,0.406418,0.401907,reconstructed_from_paper
436,0.381712,0.419495,0.381106,reconstructed_from_paper
437,0.362772,0.412134,0.377297,reconstructed_from_paper
438,0.357755,0.408429,0.397406,reconstructed_from_paper
439,0.366919,0.409211,0.402513,reconstructed_from_paper
440,0.356427,0.426186,0.372488,reconstructed_from_paper
441,0.362421,0.412021,0.389847,reconstructed_from_paper
442,0.346767,0.418977,0.391826,reconstructed_from_paper
443,0.359663,0.405343,0.394330,reconstructed_from_paper
444,0.340715,0.411308,0.378623,reconstructed_from_paper
445,0.372516,0.414511,0.392877,reconstructed_from_paper
446,0.364712,0.415575,0.383217,reconstructed_from_paper
447,0.362687,0.429678,0.370080,reconstructed_from_paper
448,0.365255,0.411888,0.374002,reconstructed_from_paper
449,0.352398,0.414037,0.397390,reconstructed_from_paper
450,0.365242,0.418490,0.380083,reconstructed_from_paper
451,0.365386,0.403146,0.361962,reconstructed_from_paper
452,0.373637,0.413030,0.402938,reconstructed_from_paper
453,0.358878,0.422818,0.381649,reconstructed_from_paper
454,0.360903,0.411405,0.375507,reconstructed_from_paper
455,0.365113,0.426933,0.391409,reconstructed_from_paper
456,0.367960,0.428087,0.375373,reconstructed_from_paper
457,0.366937,0.419530,0.386243,reconstructed_from_paper
458,0.368630,0.421110,0.406697,reconstructed_from_paper
459,0.374251,0.419353,0.385655,reconstructed_from_paper
460,0.368707,0.433965,0.364652,reconstructed_from_paper
461,0.369615,0.424897,0.387784,reconstructed_from_paper
462,0.365173,0.414544,0.387663,reconstructed_from_paper
463,0.353388,0.407140,0.375293,reconstructed_from_paper
464,0.372018,0.406571,0.379380,reconstructed_from_paper
465,0.363212,0.401387,0.364455,reconstructed_from_paper
466,0.365935,0.421958,0.377216,reconstructed_from_paper
467,0.355691,0.411593,0.402109,reconstructed_from_paper
468,0.383261,0.431052,0.384837,reconstructed_from_paper
469,0.377713,0.420324,0.382764,reconstructed_from_paper
470,0.364373,0.422244,0.384918,reconstructed_from_paper
471,0.372557,0.421279,0.373317,reconstructed_from_paper
472,0.376479,0.422981,0.371616,reconstructed_from_paper
473,0.386927,0.425053,0.405901,reconstructed_from_paper
474,0.369958,0.417081,0.386890,reconstructed_from_paper
475,0.377145,0.417974,0.387714,reconstructed_from_paper
476,0.360396,0.417757,0.376174,reconstructed_from_paper
477,0.366136,0.429261,0.384537,reconstructed_from_paper
478,0.366546,0.408378,0.396376,reconstructed_from_paper
479,0.365577,0.406083,0.381340,reconstructed_from_paper
480,0.358072,0.396356,0.392792,reconstructed_from_paper
481,0.374031,0.434685,0.374082,reconstructed_from_paper
482,0.359984,0.422993,0.397358,reconstructed_from_paper
483,0.360727,0.435747,0.364232,reconstructed_from_paper
484,0.367643,0.434973,0.392528,reconstructed_from_paper
485,0.382009,0.428156,0.364387,reconstructed_from_paper
486,0.379520,0.420927,0.413139,reconstructed_from_paper
487,0.367630,0.410990,0.370968,reconstructed_from_paper
488,0.358909,0.417610,0.366024,reconstructed_from_paper
489,0.356098,0.421951,0.363614,reconstructed_from_paper
490,0.369546,0.417856,0.387062,reconstructed_from_paper
491,0.376794,0.422486,0.392320,reconstructed_from_paper
492,0.377274,0.420265,0.393491,reconstructed_from_paper
493,0.368450,0.436620,0.370290,reconstructed_from_paper
494,0.362188,0.417068,0.384702,reconstructed_from_paper
495,0.373886,0.424757,0.384496,reconstructed_from_paper
496,0.381359,0.422187,0.395001,reconstructed_from_paper
497,0.369655,0.424888,0.408541,reconstructed_from_paper
