step,w. mask,w.o. mask,provenance
119,0.104352,0.069282,reconstructed_from_paper
120,0.117080,0.061969,reconstructed_from_paper
121,0.115468,0.042734,reconstructed_from_paper
122,0.123162,0.048590,reconstructed_from_paper
123,0.106163,0.056541,reconstructed_from_paper
124,0.129110,0.072830,reconstructed_from_paper
125,0.128079,0.029715,reconstructed_from_paper
126,0.113338,0.070826,reconstructed_from_paper
127,0.117682,0.070241,reconstructed_from_paper
128,0.125547,0.059181,reconstructed_from_paper
129,0.120905,0.060205,reconstructed_from_paper
130,0.130753,0.046403,reconstructed_from_paper
131,0.130285,0.052239,reconstructed_from_paper
132,0.126542,0.074249,reconstructed_from_paper
133,0.118557,0.066151,reconstructed_from_paper
134,0.112560,0.075552,reconstructed_from_paper
135,0.132929,0.069287,reconstructed_from_paper
136,0.121435,0.053528,reconstructed_from_paper
137,0.142542,0.073999,reconstructed_from_paper
138,0.149131,0.086286,reconstructed_from_paper
139,0.136886,0.087830,reconstructed_from_paper
140,0.144357,0.072025,reconstructed_from_paper
141,0.148845,0.041963,reconstructed_from_paper
142,0.146679,0.077021,reconstructed_from_paper
143,0.131944,0.040956,reconstructed_from_paper
144,0.134333,0.092096,reconstructed_from_paper
145,0.139791,0.057854,reconstructed_from_paper
146,0.146036,0.053837,reconstructed_from_paper
147,0.139671,0.087248,reconstructed_from_paper
148,0.149781,0.080157,reconstructed_from_paper
149,0.160270,0.075086,reconstructed_from_paper
150,0.147562,0.096475,reconstructed_from_paper
151,0.152396,0.071633,reconstructed_from_paper
152,0.145491,0.086377,reconstructed_from_paper
153,0.154023,0.085396,reconstructed_from_paper
154,0.164074,0.088295,reconstructed_from_paper
155,0.168970,0.089468,reconstructed_from_paper
156,0.161242,0.090936,reconstructed_from_paper
157,0.154205,0.057543,reconstructed_from_paper
158,0.178461,0.079633,reconstructed_from_paper
159,0.146525,0.089722,reconstructed_from_paper
160,0.161346,0.076016,reconstructed_from_paper
161,0.160094,0.102307,reconstructed_from_paper
162,0.167907,0.086425,reconstructed_from_paper
163,0.174112,0.078258,reconstructed_from_paper
164,0.167137,0.103501,reconstructed_from_paper
165,0.201872,0.084144,reconstructed_from_paper
166,0.190790,0.089637,reconstructed_from_paper
167,0.182283,0.096058,reconstructed_from_paper
168,0.172559,0.094724,reconstructed_from_paper
169,0.165320,0.107411,reconstructed_from_paper
170,0.189360,0.118569,reconstructed_from_paper
171,0.188175,0.098152,reconstructed_from_paper
172,0.186223,0.113902,reconstructed_from_paper
173,0.195871,0.106813,reconstructed_from_paper
174,0.189264,0.111390,reconstructed_from_paper
175,0.174894,0.101813,reconstructed_from_paper
176,0.172414,0.124632,reconstructed_from_paper
177,0.186408,0.113204,reconstructed_from_paper
178,0.192106,0.116570,reconstructed_from_paper
179,0.197569,0.114526,reconstructed_from_paper
180,0.196159,0.112262,reconstructed_from_paper
181,0.193762,0.133948,reconstructed_from_paper
182,0.189948,0.125653,reconstructed_from_paper
183,0.202749,0.111200,reconstructed_from_paper
184,0.205589,0.147324,reconstructed_from_paper
185,0.196087,0.158479,reconstructed_from_paper
186,0.194327,0.126920,reconstructed_from_paper
187,0.200308,0.150582,reconstructed_from_paper
188,0.196717,0.131404,reconstructed_from_paper
189,0.208299,0.144619,reconstructed_from_paper
190,0.197931,0.155651,reconstructed_from_paper
191,0.212020,0.133351,reconstructed_from_paper
192,0.203626,0.133394,reconstructed_from_paper
193,0.216111,0.142792,reconstructed_from_paper
194,0.233538,0.157036,reconstructed_from_paper
195,0.205440,0.163610,reconstructed_from_paper
196,0.217128,0.148006,reconstructed_from_paper
197,0.237536,0.160390,reconstructed_from_paper
198,0.226600,0.187120,reconstructed_from_paper
199,0.221909,0.166043,reconstructed_from_paper
200,0.226102,0.143926,reconstructed_from_paper
201,0.220632,0.171911,reconstructed_from_paper
202,0.212360,0.149628,reconstructed_from_paper
203,0.203789,0.160131,reconstructed_from_paper
204,0.220721,0.162420,reconstructed_from_paper
205,0.223054,0.188713,reconstructed_from_paper
206,0.238700,0.204470,reconstructed_from_paper
207,0.233063,0.196399,reconstructed_from_paper
208,0.218936,0.194352,reconstructed_from_paper
209,0.237135,0.171526,reconstructed_from_paper
210,0.224055,0.204095,reconstructed_from_paper
211,0.245705,0.204280,reconstructed_from_paper
212,0.228348,0.171721,reconstructed_from_paper
213,0.245378,0.216106,reconstructed_from_paper
214,0.240508,0.193849,reconstructed_from_paper
215,0.236661,0.192575,reconstructed_from_paper
216,0.251077,0.203841,reconstructed_from_paper
217,0.241393,0.221295,reconstructed_from_paper
218,0.223838,0.193632,reconstructed_from_paper
219,0.249069,0.212236,reconstructed_from_paper
220,0.238765,0.222141,reconstructed_from_paper
221,0.244494,0.199441,reconstructed_from_paper
222,0.251132,0.221628,reconstructed_from_paper
223,0.256507,0.205588,reconstructed_from_paper
224,0.252795,0.199912,reconstructed_from_paper
225,0.243829,0.209139,reconstructed_from_paper
226,0.247744,0.214201,reconstructed_from_paper
227,0.245206,0.227781,reconstructed_from_paper
228,0.253763,0.233825,reconstructed_from_paper
229,0.251341,0.223317,reconstructed_from_paper
230,0.264575,0.214900,reconstructed_from_paper
231,0.253329,0.215389,reconstructed_from_paper
232,0.268253,0.212463,reconstructed_from_paper
233,0.276471,0.190334,reconstructed_from_paper
234,0.266462,0.223764,reconstructed_from_paper
235,0.261853,0.240463,reconstructed_from_paper
236,0.274414,0.205767,reconstructed_from_paper
237,0.258200,0.223823,reconstructed_from_paper
238,0.265978,0.222306,reconstructed_from_paper
239,0.278677,0.221036,reconstructed_from_paper
240,0.273339,0.207252,reconstructed_from_paper
241,0.268113,0.202540,reconstructed_from_paper
242,0.268074,0.225807,reconstructed_from_paper
243,0.267208,0.229002,reconstructed_from_paper
244,0.284765,0.215318,reconstructed_from_paper
245,0.289940,0.238064,reconstructed_from_paper
246,0.286726,0.224357,reconstructed_from_paper
247,0.275633,0.231878,reconstructed_from_paper
248,0.279011,0.224520,reconstructed_from_paper
249,0.270070,0.247620,reconstructed_from_paper
250,0.268752,0.234143,reconstructed_from_paper
251,0.284399,0.230082,reconstructed_from_paper
252,0.285323,0.210843,reconstructed_from_paper
253,0.269895,0.260967,reconstructed_from_paper
254,0.271152,0.244476,reconstructed_from_paper
255,0.285167,0.258874,reconstructed_from_paper
256,0.271938,0.218368,reconstructed_from_paper
257,0.293079,0.232314,reconstructed_from_paper
258,0.294903,0.231523,reconstructed_from_paper
259,0.276222,0.224937,reconstructed_from_paper
260,0.283728,0.236805,reconstructed_from_paper
261,0.294981,0.235965,reconstructed_from_paper
262,0.296441,0.249921,reconstructed_from_paper
263,0.288493,0.246565,reconstructed_from_paper
264,0.288396,0.218520,reconstructed_from_paper
265,0.287890,0.247510,reconstructed_from_paper
266,0.295601,0.232952,reconstructed_from_paper
267,0.296676,0.255815,reconstructed_from_paper
268,0.290508,0.248616,reconstructed_from_paper
269,0.288811,0.247125,reconstructed_from_paper
270,0.292891,0.223686,reconstructed_from_paper
271,0.292712,0.237147,reconstructed_from_paper
272,0.291515,0.254847,reconstructed_from_paper
273,0.285054,0.234528,reconstructed_from_paper
274,0.297095,0.249037,reconstructed_from_paper
275,0.303907,0.215912,reconstructed_from_paper
276,0.298599,0.222704,reconstructed_from_paper
277,0.308634,0.234209,reconstructed_from_paper
278,0.302256,0.228210,reconstructed_from_paper
279,0.305926,0.220942,reconstructed_from_paper
280,0.307471,0.244217,reconstructed_from_paper
281,0.284094,0.232287,reconstructed_from_paper
282,0.307535,0.238926,reconstructed_from_paper
283,0.311188,0.232903,reconstructed_from_paper
284,0.292979,0.248735,reconstructed_from_paper
285,0.287729,0.207208,reconstructed_from_paper
286,0.295548,0.204535,reconstructed_from_paper
287,0.301672,0.238416,reconstructed_from_paper
288,0.307740,0.250423,reconstructed_from_paper
289,0.292399,0.234716,reconstructed_from_paper
290,0.304285,0.239860,reconstructed_from_paper
291,0.296588,0.229482,reconstructed_from_paper
292,0.308846,0.246655,reconstructed_from_paper
293,0.306306,0.238944,reconstructed_from_paper
294,0.309608,0.221903,reconstructed_from_paper
295,0.303849,0.254786,reconstructed_from_paper
296,0.305138,0.223600,reconstructed_from_paper
297,0.316838,0.207970,reconstructed_from_paper
298,0.300346,0.247845,reconstructed_from_paper
299,0.310084,0.230497,reconstructed_from_paper
300,0.305915,0.233204,reconstructed_from_paper
301,0.308721,0.211643,reconstructed_from_paper
302,0.305285,0.235379,reconstructed_from_paper
303,0.322194,0.229192,reconstructed_from_paper
304,0.320796,0.227711,reconstructed_from_paper
305,0.310829,0.251016,reconstructed_from_paper
306,0.330198,0.231521,reconstructed_from_paper
307,0.315741,0.243963,reconstructed_from_paper
308,0.327007,0.221885,reconstructed_from_paper
309,0.305788,0.230239,reconstructed_from_paper
310,0.310712,0.220550,reconstructed_from_paper
311,0.310293,0.238826,reconstructed_from_paper
312,0.333469,0.241310,reconstructed_from_paper
313,0.324519,0.235702,reconstructed_from_paper
314,0.313941,0.227221,reconstructed_from_paper
315,0.319672,0.207954,reconstructed_from_paper
316,0.316741,0.224510,reconstructed_from_paper
317,0.317103,0.253963,reconstructed_from_paper
318,0.310825,0.232472,reconstructed_from_paper
319,0.326498,0.237921,reconstructed_from_paper
320,0.322305,0.253601,reconstructed_from_paper
321,0.313050,0.225221,reconstructed_from_paper
322,0.322963,0.226281,reconstructed_from_paper
323,0.327769,0.232621,reconstructed_from_paper
324,0.322661,0.243426,reconstructed_from_paper
325,0.318327,0.250753,reconstructed_from_paper
326,0.326543,0.237324,reconstructed_from_paper
327,0.327770,0.222968,reconstructed_from_paper
328,0.338237,0.233109,reconstructed_from_paper
329,0.317779,0.234299,reconstructed_from_paper
330,0.325453,0.250846,reconstructed_from_paper
331,0.322764,0.214763,reconstructed_from_paper
332,0.319081,0.237629,reconstructed_from_paper
333,0.323808,0.234483,reconstructed_from_paper
334,0.311913,0.241741,reconstructed_from_paper
335,0.317123,0.232796,reconstructed_from_paper
336,0.312482,0.246801,reconstructed_from_paper
337,0.326295,0.234138,reconstructed_from_paper
338,0.321182,0.234890,reconstructed_from_paper
339,0.316782,0.268174,reconstructed_from_paper
340,0.321108,0.222151,reconstructed_from_paper
341,0.329692,0.262265,reconstructed_from_paper
342,0.321975,0.240945,reconstructed_from_paper
343,0.304187,0.229561,reconstructed_from_paper
344,0.344421,0.251472,reconstructed_from_paper
345,0.323227,0.229621,reconstructed_from_paper
346,0.333822,0.235261,reconstructed_from_paper
347,0.317753,0.228288,reconstructed_from_paper
348,0.323459,0.249193,reconstructed_from_paper
349,0.327843,0.220615,reconstructed_from_paper
350,0.329474,0.232544,reconstructed_from_paper
351,0.323290,0.227347,reconstructed_from_paper
352,0.342662,0.251738,reconstructed_from_paper
353,0.321876,0.255593,reconstructed_from_paper
354,0.325133,0.254962,reconstructed_from_paper
355,0.345982,0.233187,reconstructed_from_paper
356,0.329695,0.236612,reconstructed_from_paper
357,0.314708,0.226111,reconstructed_from_paper
358,0.334452,0.247174,reconstructed_from_paper
359,0.333700,0.233290,reconstructed_from_paper
360,0.340568,0.244424,reconstructed_from_paper
361,0.345804,0.226903,reconstructed_from_paper
362,0.330543,0.246974,reconstructed_from_paper
363,0.339041,0.273925,reconstructed_from_paper
364,0.330661,0.244438,reconstructed_from_paper
365,0.322664,0.248819,reconstructed_from_paper
366,0.323302,0.235147,reconstructed_from_paper
367,0.322775,0.236645,reconstructed_from_paper
368,0.317871,0.248241,reconstructed_from_paper
369,0.343914,0.230135,reconstructed_from_paper
370,0.325067,0.237111,reconstructed_from_paper
371,0.320186,0.259069,reconstructed_from_paper
372,0.330497,0.219427,reconstructed_from_paper
373,0.320874,0.255636,reconstructed_from_paper
374,0.340673,0.229792,reconstructed_from_paper
375,0.347724,0.245150,reconstructed_from_paper
376,0.335816,0.258127,reconstructed_from_paper
377,0.331160,0.244212,reconstructed_from_paper
378,0.329128,0.269033,reconstructed_from_paper
379,0.336535,0.241589,reconstructed_from_paper
380,0.339966,0.260866,reconstructed_from_paper
381,0.340749,0.298565,reconstructed_from_paper
382,0.329197,0.262942,reconstructed_from_paper
383,0.334968,0.251677,reconstructed_from_paper
384,0.321086,0.270073,reconstructed_from_paper
385,0.334864,0.270167,reconstructed_from_paper
386,0.341151,0.251477,reconstructed_from_paper
387,0.342380,0.264825,reconstructed_from_paper
388,0.325630,0.257895,reconstructed_from_paper
389,0.321190,0.260824,reconstructed_from_paper
390,0.350510,0.264829,reconstructed_from_paper
391,0.333994,0.241471,reconstructed_from_paper
392,0.331882,0.266229,reconstructed_from_paper
393,0.336695,0.265462,reconstructed_from_paper
394,0.331984,0.288326,reconstructed_from_paper
395,0.338736,0.267753,reconstructed_from_paper
396,0.339217,0.255126,reconstructed_from_paper
397,0.328614,0.279341,reconstructed_from_paper
398,0.322845,0.290587,reconstructed_from_paper
399,0.330109,0.293894,reconstructed_from_paper
400,0.307599,0.247682,reconstructed_from_paper
