step,PPO,GRPO,provenance
110,0.126056,0.315990,reconstructed_from_paper
111,0.127837,0.338932,reconstructed_from_paper
112,0.142685,0.323412,reconstructed_from_paper
113,0.137389,0.347227,reconstructed_from_paper
114,0.142532,0.318092,reconstructed_from_paper
115,0.149127,0.323130,reconstructed_from_paper
116,0.149290,0.326788,reconstructed_from_paper
117,0.124638,0.327814,reconstructed_from_paper
118,0.144290,0.335863,reconstructed_from_paper
119,0.121875,0.353239,reconstructed_from_paper
120,0.139420,0.357534,reconstructed_from_paper
121,0.159823,0.327264,reconstructed_from_paper
122,0.139273,0.361820,reconstructed_from_paper
123,0.138098,0.346871,reconstructed_from_paper
124,0.144078,0.369367,reconstructed_from_paper
125,0.143143,0.346327,reconstructed_from_paper
126,0.143822,0.338480,reconstructed_from_paper
127,0.136581,0.362742,reconstructed_from_paper
128,0.155573,0.361878,reconstructed_from_paper
129,0.154252,0.348161,reconstructed_from_paper
130,0.143850,0.356286,reconstructed_from_paper
131,0.149736,0.359175,reconstructed_from_paper
132,0.153794,0.363042,reconstructed_from_paper
133,0.158158,0.335986,reconstructed_from_paper
134,0.152396,0.344399,reconstructed_from_paper
135,0.156057,0.363305,reconstructed_from_paper
136,0.147117,0.367392,reconstructed_from_paper
137,0.139704,0.357608,reconstructed_from_paper
138,0.146100,0.341473,reconstructed_from_paper
139,0.161906,0.386067,reconstructed_from_paper
140,0.162159,0.364062,reconstructed_from_paper
141,0.154519,0.354810,reconstructed_from_paper
142,0.148063,0.392854,reconstructed_from_paper
143,0.157501,0.387420,reconstructed_from_paper
144,0.171753,0.387108,reconstructed_from_paper
145,0.169365,0.385254,reconstructed_from_paper
146,0.149693,0.382499,reconstructed_from_paper
147,0.156810,0.361838,reconstructed_from_paper
148,0.143451,0.376816,reconstructed_from_paper
149,0.147343,0.382259,reconstructed_from_paper
150,0.161320,0.387020,reconstructed_from_paper
151,0.160431,0.385662,reconstructed_from_paper
152,0.170585,0.365724,reconstructed_from_paper
153,0.174375,0.372173,reconstructed_from_paper
154,0.170818,0.376777,reconstructed_from_paper
155,0.176445,0.379455,reconstructed_from_paper
156,0.158563,0.370711,reconstructed_from_paper
157,0.153540,0.358137,reconstructed_from_paper
158,0.170637,0.367346,reconstructed_from_paper
159,0.193231,0.389367,reconstructed_from_paper
160,0.170832,0.385581,reconstructed_from_paper
161,0.156576,0.394502,reconstructed_from_paper
162,0.171355,0.360597,reconstructed_from_paper
163,0.184034,0.381809,reconstructed_from_paper
164,0.160290,0.400703,reconstructed_from_paper
165,0.179532,0.361348,reconstructed_from_paper
166,0.166260,0.374227,reconstructed_from_paper
167,0.185982,0.366620,reconstructed_from_paper
168,0.182000,0.407430,reconstructed_from_paper
169,0.178087,0.391426,reconstructed_from_paper
170,0.195957,0.383464,reconstructed_from_paper
171,0.172787,0.394088,reconstructed_from_paper
172,0.170943,0.391203,reconstructed_from_paper
173,0.197290,0.405599,reconstructed_from_paper
174,0.170925,0.409749,reconstructed_from_paper
175,0.202634,0.406621,reconstructed_from_paper
176,0.181209,0.399042,reconstructed_from_paper
177,0.172219,0.405335,reconstructed_from_paper
178,0.183550,0.406423,reconstructed_from_paper
179,0.185868,0.411744,reconstructed_from_paper
180,0.187577,0.370092,reconstructed_from_paper
181,0.184658,0.401004,reconstructed_from_paper
182,0.198411,0.397613,reconstructed_from_paper
183,0.165431,0.399088,reconstructed_from_paper
184,0.184123,0.393695,reconstructed_from_paper
185,0.188096,0.396467,reconstructed_from_paper
186,0.209972,0.404728,reconstructed_from_paper
187,0.172915,0.400889,reconstructed_from_paper
188,0.190521,0.400183,reconstructed_from_paper
189,0.183572,0.383644,reconstructed_from_paper
190,0.189449,0.381342,reconstructed_from_paper
191,0.203604,0.388718,reconstructed_from_paper
192,0.202420,0.374482,reconstructed_from_paper
193,0.213831,0.392444,reconstructed_from_paper
194,0.194563,0.388019,reconstructed_from_paper
195,0.204382,0.374975,reconstructed_from_paper
196,0.214575,0.373194,reconstructed_from_paper
197,0.213028,0.393962,reconstructed_from_paper
198,0.201796,0.392618,reconstructed_from_paper
199,0.217607,0.431358,reconstructed_from_paper
200,0.198266,0.413192,reconstructed_from_paper
201,0.226723,0.390329,reconstructed_from_paper
202,0.211427,0.394442,reconstructed_from_paper
203,0.209958,0.387434,reconstructed_from_paper
204,0.215001,0.390706,reconstructed_from_paper
205,0.221999,0.396966,reconstructed_from_paper
206,0.232146,0.401320,reconstructed_from_paper
207,0.214541,0.393409,reconstructed_from_paper
208,0.213523,0.413762,reconstructed_from_paper
209,0.224308,0.411381,reconstructed_from_paper
210,0.210977,0.429854,reconstructed_from_paper
211,0.203988,0.384231,reconstructed_from_paper
212,0.230572,0.412119,reconstructed_from_paper
213,0.219688,0.397491,reconstructed_from_paper
214,0.236025,0.380323,reconstructed_from_paper
215,0.215771,0.398655,reconstructed_from_paper
216,0.198362,0.379936,reconstructed_from_paper
217,0.231446,0.402612,reconstructed_from_paper
218,0.231463,0.441362,reconstructed_from_paper
219,0.247220,0.421354,reconstructed_from_paper
220,0.237778,0.428604,reconstructed_from_paper
221,0.236928,0.419863,reconstructed_from_paper
222,0.241016,0.381489,reconstructed_from_paper
223,0.232798,0.408968,reconstructed_from_paper
224,0.238570,0.405181,reconstructed_from_paper
225,0.225604,0.409267,reconstructed_from_paper
226,0.245646,0.388645,reconstructed_from_paper
227,0.233736,0.375414,reconstructed_from_paper
228,0.238669,0.432609,reconstructed_from_paper
229,0.251466,0.419816,reconstructed_from_paper
230,0.254968,0.407387,reconstructed_from_paper
231,0.237087,0.396173,reconstructed_from_paper
232,0.268546,0.405555,reconstructed_from_paper
233,0.243942,0.385580,reconstructed_from_paper
234,0.259561,0.416319,reconstructed_from_paper
235,0.262078,0.405123,reconstructed_from_paper
236,0.256161,0.400630,reconstructed_from_paper
237,0.256998,0.396631,reconstructed_from_paper
238,0.274606,0.401627,reconstructed_from_paper
239,0.266894,0.404308,reconstructed_from_paper
240,0.263805,0.396721,reconstructed_from_paper
241,0.242467,0.415711,reconstructed_from_paper
242,0.254597,0.405058,reconstructed_from_paper
243,0.275053,0.400664,reconstructed_from_paper
244,0.266725,0.389786,reconstructed_from_paper
245,0.256591,0.418753,reconstructed_from_paper
246,0.261073,0.419705,reconstructed_from_paper
247,0.265790,0.411029,reconstructed_from_paper
248,0.277065,0.375399,reconstructed_from_paper
249,0.275426,0.396151,reconstructed_from_paper
250,0.282879,0.414732,reconstructed_from_paper
251,0.266082,0.401157,reconstructed_from_paper
252,0.285457,0.418293,reconstructed_from_paper
253,0.271920,0.394072,reconstructed_from_paper
254,0.275289,0.411138,reconstructed_from_paper
255,0.296945,0.407093,reconstructed_from_paper
256,0.281687,0.365249,reconstructed_from_paper
257,0.280881,0.393557,reconstructed_from_paper
258,0.281496,0.395653,reconstructed_from_paper
259,0.281071,0.389917,reconstructed_from_paper
260,0.301830,0.385903,reconstructed_from_paper
261,0.301313,0.420361,reconstructed_from_paper
262,0.296023,0.396117,reconstructed_from_paper
263,0.291997,0.408524,reconstructed_from_paper
264,0.301877,0.378389,reconstructed_from_paper
265,0.291965,0.367697,reconstructed_from_paper
266,0.298553,0.389811,reconstructed_from_paper
267,0.299325,0.401763,reconstructed_from_paper
268,0.297468,0.385556,reconstructed_from_paper
269,0.314329,0.402712,reconstructed_from_paper
270,0.316657,0.406111,reconstructed_from_paper
271,0.313594,0.388175,reconstructed_from_paper
272,0.282472,0.393187,reconstructed_from_paper
273,0.321201,0.383247,reconstructed_from_paper
274,0.311097,0.408237,reconstructed_from_paper
275,0.300791,0.417400,reconstructed_from_paper
276,0.306268,0.399106,reconstructed_from_paper
277,0.319103,0.384580,reconstructed_from_paper
278,0.320668,0.381258,reconstructed_from_paper
279,0.318660,0.386700,reconstructed_from_paper
280,0.312701,0.402516,reconstructed_from_paper
281,0.312824,0.378899,reconstructed_from_paper
282,0.321951,0.409629,reconstructed_from_paper
283,0.313872,0.371222,reconstructed_from_paper
284,0.306951,0.387612,reconstructed_from_paper
285,0.310835,0.405547,reconstructed_from_paper
286,0.316800,0.411439,reconstructed_from_paper
287,0.322639,0.380114,reconstructed_from_paper
288,0.343058,0.396242,reconstructed_from_paper
289,0.307821,0.419887,reconstructed_from_paper
290,0.327378,0.400123,reconstructed_from_paper
291,0.322766,0.352374,reconstructed_from_paper
292,0.327758,0.386258,reconstructed_from_paper
293,0.339345,0.414845,reconstructed_from_paper
294,0.339264,0.364548,reconstructed_from_paper
295,0.326313,0.392823,reconstructed_from_paper
296,0.323332,0.350018,reconstructed_from_paper
297,0.316292,0.400666,reconstructed_from_paper
298,0.330210,0.365805,reconstructed_from_paper
299,0.344382,0.388083,reconstructed_from_paper
300,0.330240,0.388679,reconstructed_from_paper
301,0.340897,0.336104,reconstructed_from_paper
302,0.341895,0.354134,reconstructed_from_paper
303,0.339731,0.377882,reconstructed_from_paper
304,0.347532,0.351032,reconstructed_from_paper
305,0.336476,0.371143,reconstructed_from_paper
306,0.330227,0.357221,reconstructed_from_paper
307,0.327694,0.388327,reconstructed_from_paper
308,0.349573,0.361427,reconstructed_from_paper
309,0.337557,0.354768,reconstructed_from_paper
310,0.338930,0.375573,reconstructed_from_paper
311,0.351232,0.382691,reconstructed_from_paper
312,0.335836,0.362368,reconstructed_from_paper
313,0.362254,0.367446,reconstructed_from_paper
314,0.352027,0.369386,reconstructed_from_paper
315,0.340898,0.354519,reconstructed_from_paper
316,0.340620,0.343751,reconstructed_from_paper
317,0.358550,0.366762,reconstructed_from_paper
318,0.336659,0.353287,reconstructed_from_paper
319,0.342841,0.337987,reconstructed_from_paper
320,0.350054,0.368021,reconstructed_from_paper
321,0.352749,0.361035,reconstructed_from_paper
322,0.351589,0.355825,reconstructed_from_paper
323,0.356014,0.342178,reconstructed_from_paper
324,0.349197,0.348497,reconstructed_from_paper
325,0.352303,0.359027,reconstructed_from_paper
326,0.366837,0.356156,reconstructed_from_paper
327,0.361302,0.336691,reconstructed_from_paper
328,0.350991,0.334475,reconstructed_from_paper
329,0.373268,0.350772,reconstructed_from_paper
330,0.336836,0.347422,reconstructed_from_paper
331,0.358198,0.355590,reconstructed_from_paper
332,0.364635,0.326364,reconstructed_from_paper
333,0.368265,0.354348,reconstructed_from_paper
334,0.360235,0.365007,reconstructed_from_paper
335,0.355835,0.352481,reconstructed_from_paper
336,0.366093,0.339906,reconstructed_from_paper
337,0.358845,0.349637,reconstructed_from_paper
338,0.366058,0.317817,reconstructed_from_paper
339,0.333266,0.328520,reconstructed_from_paper
340,0.366157,0.362457,reconstructed_from_paper
341,0.354935,0.309643,reconstructed_from_paper
342,0.372741,0.315231,reconstructed_from_paper
343,0.371288,0.341877,reconstructed_from_paper
344,0.371567,0.320090,reconstructed_from_paper
345,0.360692,0.320308,reconstructed_from_paper
346,0.369527,0.311492,reconstructed_from_paper
347,0.362202,0.349671,reconstructed_from_paper
348,0.368202,0.316562,reconstructed_from_paper
349,0.365118,0.320176,reconstructed_from_paper
350,0.358169,0.297667,reconstructed_from_paper
351,0.387054,0.332830,reconstructed_from_paper
352,0.374913,0.320937,reconstructed_from_paper
353,0.347491,0.327067,reconstructed_from_paper
354,0.377368,0.341252,reconstructed_from_paper
355,0.354856,0.320318,reconstructed_from_paper
356,0.366834,0.300551,reconstructed_from_paper
357,0.363685,0.302126,reconstructed_from_paper
358,0.364499,0.316564,reconstructed_from_paper
359,0.372585,0.333006,reconstructed_from_paper
360,0.367247,0.296853,reconstructed_from_paper
361,0.356335,0.309318,reconstructed_from_paper
362,0.371070,0.309891,reconstructed_from_paper
363,0.375082,0.320291,reconstructed_from_paper
364,0.389425,0.297789,reconstructed_from_paper
365,0.367874,0.313827,reconstructed_from_paper
366,0.360408,0.319647,reconstructed_from_paper
367,0.368774,0.307370,reconstructed_from_paper
368,0.379379,0.305768,reconstructed_from_paper
369,0.364274,0.315061,reconstructed_from_paper
370,0.366160,0.313809,reconstructed_from_paper
371,0.379165,0.322573,reconstructed_from_paper
372,0.373760,0.289153,reconstructed_from_paper
373,0.376334,0.320803,reconstructed_from_paper
374,0.368061,0.299711,reconstructed_from_paper
375,0.366322,0.286311,reconstructed_from_paper
376,0.371571,0.293872,reconstructed_from_paper
377,0.373495,0.283724,reconstructed_from_paper
378,0.371912,0.297580,reconstructed_from_paper
379,0.379782,0.314268,reconstructed_from_paper
380,0.381153,0.267714,reconstructed_from_paper
381,0.381371,0.282092,reconstructed_from_paper
382,0.380887,0.308849,reconstructed_from_paper
383,0.367438,0.293342,reconstructed_from_paper
384,0.365301,0.308127,reconstructed_from_paper
385,0.384709,0.277935,reconstructed_from_paper
386,0.377012,0.295284,reconstructed_from_paper
387,0.378295,0.259052,reconstructed_from_paper
388,0.365667,0.283211,reconstructed_from_paper
389,0.375338,0.304963,reconstructed_from_paper
390,0.371262,0.311174,reconstructed_from_paper
391,0.369179,0.316561,reconstructed_from_paper
392,0.371707,0.292513,reconstructed_from_paper
393,0.363245,0.280600,reconstructed_from_paper
394,0.379220,0.287085,reconstructed_from_paper
395,0.390207,0.265242,reconstructed_from_paper
396,0.371649,0.310682,reconstructed_from_paper
397,0.379853,0.307841,reconstructed_from_paper
398,0.368164,0.278255,reconstructed_from_paper
399,0.385980,0.316287,reconstructed_from_paper
400,0.398079,0.271368,reconstructed_from_paper
401,0.367286,0.297815,reconstructed_from_paper
402,0.377526,0.278341,reconstructed_from_paper
403,0.394222,0.265018,reconstructed_from_paper
404,0.383843,0.294597,reconstructed_from_paper
405,0.381497,0.272543,reconstructed_from_paper
406,0.360098,0.305195,reconstructed_from_paper
407,0.379213,0.275614,reconstructed_from_paper
408,0.390085,0.289422,reconstructed_from_paper
409,0.395453,0.280982,reconstructed_from_paper
410,0.387696,0.289334,reconstructed_from_paper
411,0.375678,0.278344,reconstructed_from_paper
412,0.374804,0.298449,reconstructed_from_paper
413,0.363676,0.295283,reconstructed_from_paper
414,0.371312,0.287495,reconstructed_from_paper
415,0.393493,0.284525,reconstructed_from_paper
416,0.381329,0.313694,reconstructed_from_paper
417,0.369294,0.276153,reconstructed_from_paper
418,0.396085,0.279555,reconstructed_from_paper
419,0.366380,0.296326,reconstructed_from_paper
420,0.395931,0.285177,reconstructed_from_paper
421,0.380315,0.262278,reconstructed_from_paper
422,0.387163,0.282998,reconstructed_from_paper
423,0.390792,0.279441,reconstructed_from_paper
424,0.386851,0.270737,reconstructed_from_paper
425,0.397178,0.287231,reconstructed_from_paper
426,0.384860,0.268440,reconstructed_from_paper
427,0.381675,0.280706,reconstructed_from_paper
428,0.378572,0.268173,reconstructed_from_paper
429,0.370992,0.305798,reconstructed_from_paper
430,0.378748,0.279845,reconstructed_from_paper
431,0.395777,0.289866,reconstructed_from_paper
432,0.394472,0.287557,reconstructed_from_paper
433,0.400403,0.293314,reconstructed_from_paper
434,0.414037,0.281209,reconstructed_from_paper
435,0.394169,0.293762,reconstructed_from_paper
436,0.392327,0.284849,reconstructed_from_paper
437,0.374453,0.248752,reconstructed_from_paper
438,0.385465,0.287267,reconstructed_from_paper
439,0.410146,0.264708,reconstructed_from_paper
440,0.393784,0.295997,reconstructed_from_paper
441,0.387412,0.285671,reconstructed_from_paper
442,0.392196,0.277304,reconstructed_from_paper
443,0.370458,0.247116,reconstructed_from_paper
444,0.381390,0.252420,reconstructed_from_paper
445,0.376962,0.265798,reconstructed_from_paper
446,0.369004,0.276891,reconstructed_from_paper
447,0.398405,0.262808,reconstructed_from_paper
448,0.400711,0.309834,reconstructed_from_paper
449,0.389630,0.288398,reconstructed_from_paper
450,0.395207,0.280676,reconstructed_from_paper
451,0.382022,0.268045,reconstructed_from_paper
452,0.396979,0.277029,reconstructed_from_paper
453,0.400442,0.278402,reconstructed_from_paper
454,0.408524,0.275469,reconstructed_from_paper
455,0.409152,0.280524,reconstructed_from_paper
456,0.398795,0.292823,reconstructed_from_paper
457,0.393028,0.256848,reconstructed_from_paper
458,0.386420,0.284614,reconstructed_from_paper
459,0.389012,0.296827,reconstructed_from_paper
460,0.401629,0.262191,reconstructed_from_paper
461,0.401511,0.278656,reconstructed_from_paper
462,0.396442,0.275907,reconstructed_from_paper
463,0.413299,0.265211,reconstructed_from_paper
464,0.403553,0.294474,reconstructed_from_paper
465,0.397641,0.276565,reconstructed_from_paper
466,0.395982,0.297131,reconstructed_from_paper
467,0.399086,0.286820,reconstructed_from_paper
468,0.389243,0.277120,reconstructed_from_paper
469,0.389362,0.285014,reconstructed_from_paper
470,0.403065,0.275698,reconstructed_from_paper
471,0.394173,0.257949,reconstructed_from_paper
472,0.397747,0.300804,reconstructed_from_paper
473,0.413102,0.285989,reconstructed_from_paper
474,0.399407,0.297022,reconstructed_from_paper
475,0.414917,0.255444,reconstructed_from_paper
476,0.402145,0.295434,reconstructed_from_paper
477,0.417848,0.292290,reconstructed_from_paper
478,0.407774,0.280150,reconstructed_from_paper
479,0.386001,0.251010,reconstructed_from_paper
480,0.416425,0.282081,reconstructed_from_paper
481,0.402428,0.271305,reconstructed_from_paper
482,0.385316,0.277928,reconstructed_from_paper
483,0.406557,0.281380,reconstructed_from_paper
484,0.407439,0.267917,reconstructed_from_paper
485,0.393442,0.278740,reconstructed_from_paper
486,0.400744,0.280711,reconstructed_from_paper
487,0.412757,0.300969,reconstructed_from_paper
488,0.421874,0.279093,reconstructed_from_paper
489,0.419629,0.313411,reconstructed_from_paper
490,0.420918,0.263917,reconstructed_from_paper
491,0.420367,0.278542,reconstructed_from_paper
492,0.384785,0.297800,reconstructed_from_paper
493,0.402835,0.258430,reconstructed_from_paper
494,0.412445,0.289086,reconstructed_from_paper
495,0.384159,0.285932,reconstructed_from_paper
496,0.419215,0.271954,reconstructed_from_paper
497,0.420897,0.277005,reconstructed_from_paper
498,0.404698,0.302015,reconstructed_from_paper
499,0.409117,0.274065,reconstructed_from_paper
500,0.403993,0.284235,reconstructed_from_paper
