step,size=1,size=3,size=5,provenance
97,0.113217,0.141035,0.217908,reconstructed_from_paper
98,0.104291,0.149479,0.215233,reconstructed_from_paper
99,0.098572,0.158690,0.214282,reconstructed_from_paper
100,0.103450,0.162784,0.254236,reconstructed_from_paper
101,0.106981,0.164874,0.222398,reconstructed_from_paper
102,0.102827,0.184689,0.234913,reconstructed_from_paper
103,0.112667,0.152509,0.271350,reconstructed_from_paper
104,0.097019,0.162590,0.257859,reconstructed_from_paper
105,0.099860,0.197443,0.246419,reconstructed_from_paper
106,0.113592,0.142981,0.233374,reconstructed_from_paper
107,0.105084,0.160611,0.251836,reconstructed_from_paper
108,0.097549,0.170392,0.273310,reconstructed_from_paper
109,0.114625,0.171702,0.259407,reconstructed_from_paper
110,0.119933,0.176240,0.271681,reconstructed_from_paper
111,0.103380,0.169982,0.255107,reconstructed_from_paper
112,0.095607,0.178745,0.263820,reconstructed_from_paper
113,0.107461,0.176494,0.254349,reconstructed_from_paper
114,0.107982,0.186629,0.266380,reconstructed_from_paper
115,0.107295,0.156177,0.282323,reconstructed_from_paper
116,0.123277,0.169786,0.240564,reconstructed_from_paper
117,0.102051,0.181901,0.264388,reconstructed_from_paper
118,0.123302,0.171070,0.271138,reconstructed_from_paper
119,0.101209,0.172443,0.260041,reconstructed_from_paper
120,0.106210,0.194041,0.266114,reconstructed_from_paper
121,0.119650,0.180239,0.285475,reconstructed_from_paper
122,0.124801,0.197190,0.306731,reconstructed_from_paper
123,0.123054,0.200055,0.286574,reconstructed_from_paper
124,0.119113,0.196319,0.283496,reconstructed_from_paper
125,0.117973,0.200274,0.255209,reconstructed_from_paper
126,0.118754,0.194460,0.312603,reconstructed_from_paper
127,0.123252,0.180344,0.284701,reconstructed_from_paper
128,0.117184,0.198432,0.284613,reconstructed_from_paper
129,0.121966,0.205782,0.268921,reconstructed_from_paper
130,0.125326,0.195518,0.287544,reconstructed_from_paper
131,0.120885,0.202215,0.272529,reconstructed_from_paper
132,0.128462,0.213938,0.292794,reconstructed_from_paper
133,0.127391,0.195948,0.300686,reconstructed_from_paper
134,0.141109,0.215702,0.295268,reconstructed_from_paper
135,0.126656,0.231908,0.300762,reconstructed_from_paper
136,0.120605,0.204437,0.284154,reconstructed_from_paper
137,0.121825,0.214382,0.322131,reconstructed_from_paper
138,0.125788,0.212349,0.290251,reconstructed_from_paper
139,0.134951,0.234166,0.273033,reconstructed_from_paper
140,0.124342,0.221006,0.300527,reconstructed_from_paper
141,0.131580,0.229506,0.292683,reconstructed_from_paper
142,0.145384,0.211973,0.290099,reconstructed_from_paper
143,0.106509,0.221579,0.301907,reconstructed_from_paper
144,0.120222,0.223169,0.313550,reconstructed_from_paper
145,0.133282,0.203488,0.291264,reconstructed_from_paper
146,0.135424,0.243597,0.309231,reconstructed_from_paper
147,0.134742,0.238604,0.335495,reconstructed_from_paper
148,0.129472,0.208322,0.324804,reconstructed_from_paper
149,0.140010,0.239740,0.312638,reconstructed_from_paper
150,0.137417,0.230725,0.318280,reconstructed_from_paper
151,0.130947,0.239166,0.315462,reconstructed_from_paper
152,0.158286,0.239665,0.317737,reconstructed_from_paper
153,0.140385,0.218757,0.331319,reconstructed_from_paper
154,0.132976,0.235671,0.319198,reconstructed_from_paper
155,0.137848,0.257593,0.283263,reconstructed_from_paper
156,0.137494,0.234244,0.322423,reconstructed_from_paper
157,0.139744,0.230323,0.309547,reconstructed_from_paper
158,0.116543,0.227731,0.335190,reconstructed_from_paper
159,0.137504,0.230835,0.315974,reconstructed_from_paper
160,0.151756,0.250950,0.329062,reconstructed_from_paper
161,0.132957,0.268664,0.362452,reconstructed_from_paper
162,0.143672,0.254929,0.311773,reconstructed_from_paper
163,0.153655,0.254138,0.311416,reconstructed_from_paper
164,0.153582,0.279404,0.307693,reconstructed_from_paper
165,0.160102,0.247768,0.292807,reconstructed_from_paper
166,0.132179,0.247307,0.301897,reconstructed_from_paper
167,0.145123,0.263123,0.338594,reconstructed_from_paper
168,0.146049,0.264743,0.323342,reconstructed_from_paper
169,0.155543,0.247354,0.304431,reconstructed_from_paper
170,0.160579,0.246854,0.311351,reconstructed_from_paper
171,0.127429,0.265741,0.345683,reconstructed_from_paper
172,0.162196,0.266563,0.324119,reconstructed_from_paper
173,0.140197,0.249250,0.331351,reconstructed_from_paper
174,0.160202,0.263834,0.343189,reconstructed_from_paper
175,0.141456,0.261069,0.360266,reconstructed_from_paper
176,0.157301,0.274413,0.370266,reconstructed_from_paper
177,0.167306,0.268794,0.356358,reconstructed_from_paper
178,0.156049,0.270456,0.342749,reconstructed_from_paper
179,0.159953,0.268531,0.343994,reconstructed_from_paper
180,0.166250,0.286690,0.370462,reconstructed_from_paper
181,0.161194,0.292001,0.365049,reconstructed_from_paper
182,0.159972,0.272164,0.337771,reconstructed_from_paper
183,0.175417,0.287967,0.350596,reconstructed_from_paper
184,0.171906,0.269959,0.348382,reconstructed_from_paper
185,0.160679,0.281141,0.345131,reconstructed_from_paper
186,0.188887,0.290492,0.336781,reconstructed_from_paper
187,0.154715,0.300871,0.324032,reconstructed_from_paper
188,0.174128,0.279306,0.337170,reconstructed_from_paper
189,0.164367,0.284194,0.321454,reconstructed_from_paper
190,0.168813,0.288615,0.366172,reconstructed_from_paper
191,0.174833,0.269447,0.355596,reconstructed_from_paper
192,0.171355,0.288770,0.328120,reconstructed_from_paper
193,0.175972,0.281614,0.370140,reconstructed_from_paper
194,0.157350,0.295316,0.362454,reconstructed_from_paper
195,0.158383,0.278423,0.318015,reconstructed_from_paper
196,0.178378,0.269373,0.378369,reconstructed_from_paper
197,0.165051,0.294657,0.362206,reconstructed_from_paper
198,0.165358,0.298417,0.382604,reconstructed_from_paper
199,0.162246,0.289783,0.330197,reconstructed_from_paper
200,0.187756,0.308107,0.358692,reconstructed_from_paper
201,0.183961,0.295222,0.357265,reconstructed_from_paper
202,0.191384,0.292280,0.354008,reconstructed_from_paper
203,0.170573,0.306319,0.353791,reconstructed_from_paper
204,0.179909,0.282794,0.368166,reconstructed_from_paper
205,0.170526,0.294499,0.327652,reconstructed_from_paper
206,0.188573,0.303383,0.331930,reconstructed_from_paper
207,0.196875,0.314813,0.329726,reconstructed_from_paper
208,0.175451,0.303656,0.343330,reconstructed_from_paper
209,0.198400,0.310282,0.342775,reconstructed_from_paper
210,0.194145,0.299675,0.358541,reconstructed_from_paper
211,0.184549,0.312111,0.357117,reconstructed_from_paper
212,0.169300,0.329391,0.353535,reconstructed_from_paper
213,0.200606,0.302120,0.342379,reconstructed_from_paper
214,0.187980,0.339668,0.346297,reconstructed_from_paper
215,0.184322,0.304453,0.368761,reconstructed_from_paper
216,0.194246,0.313279,0.365884,reconstructed_from_paper
217,0.195242,0.316036,0.355417,reconstructed_from_paper
218,0.205940,0.327121,0.348769,reconstructed_from_paper
219,0.184180,0.300846,0.378897,reconstructed_from_paper
220,0.204493,0.291334,0.344653,reconstructed_from_paper
221,0.208560,0.324653,0.364641,reconstructed_from_paper
222,0.209151,0.327754,0.372815,reconstructed_from_paper
223,0.195364,0.326511,0.350197,reconstructed_from_paper
224,0.191202,0.351400,0.367731,reconstructed_from_paper
225,0.207975,0.323089,0.336745,reconstructed_from_paper
226,0.200754,0.324462,0.370862,reconstructed_from_paper
227,0.201746,0.333340,0.357912,reconstructed_from_paper
228,0.214357,0.327379,0.329381,reconstructed_from_paper
229,0.200080,0.343670,0.365524,reconstructed_from_paper
230,0.182693,0.309589,0.340571,reconstructed_from_paper
231,0.200791,0.320675,0.375386,reconstructed_from_paper
232,0.188503,0.284564,0.344036,reconstructed_from_paper
233,0.213471,0.336360,0.352280,reconstructed_from_paper
234,0.209869,0.322842,0.359454,reconstructed_from_paper
235,0.202428,0.339088,0.349611,reconstructed_from_paper
236,0.208757,0.354529,0.359080,reconstructed_from_paper
237,0.217251,0.329277,0.346065,reconstructed_from_paper
238,0.211382,0.326952,0.365653,reconstructed_from_paper
239,0.223524,0.324660,0.354971,reconstructed_from_paper
240,0.211948,0.321238,0.358235,reconstructed_from_paper
241,0.222777,0.324356,0.310784,reconstructed_from_paper
242,0.227752,0.340209,0.373371,reconstructed_from_paper
243,0.229732,0.333587,0.355255,reconstructed_from_paper
244,0.210111,0.334538,0.326176,reconstructed_from_paper
245,0.224990,0.332251,0.356172,reconstructed_from_paper
246,0.201101,0.345880,0.362061,reconstructed_from_paper
247,0.209148,0.341404,0.371654,reconstructed_from_paper
248,0.202146,0.334333,0.337130,reconstructed_from_paper
249,0.230345,0.344559,0.379133,reconstructed_from_paper
250,0.210549,0.335300,0.351753,reconstructed_from_paper
251,0.222434,0.323816,0.392536,reconstructed_from_paper
252,0.221731,0.355634,0.351793,reconstructed_from_paper
253,0.224114,0.344264,0.364917,reconstructed_from_paper
254,0.219959,0.327694,0.348079,reconstructed_from_paper
255,0.228295,0.352619,0.335991,reconstructed_from_paper
256,0.243223,0.344295,0.371287,reconstructed_from_paper
257,0.228409,0.321856,0.368133,reconstructed_from_paper
258,0.233698,0.360412,0.378135,reconstructed_from_paper
259,0.238831,0.345550,0.367113,reconstructed_from_paper
260,0.228951,0.352691,0.344110,reconstructed_from_paper
261,0.220301,0.344805,0.326558,reconstructed_from_paper
262,0.227545,0.341065,0.342619,reconstructed_from_paper
263,0.243110,0.324702,0.342097,reconstructed_from_paper
264,0.219534,0.355349,0.339719,reconstructed_from_paper
265,0.229872,0.344454,0.361941,reconstructed_from_paper
266,0.245220,0.341049,0.357726,reconstructed_from_paper
267,0.244188,0.349083,0.348019,reconstructed_from_paper
268,0.238021,0.346187,0.354948,reconstructed_from_paper
269,0.246098,0.353726,0.349705,reconstructed_from_paper
270,0.241241,0.341527,0.355285,reconstructed_from_paper
271,0.230032,0.345894,0.363756,reconstructed_from_paper
272,0.227461,0.321009,0.366913,reconstructed_from_paper
273,0.236679,0.341933,0.340423,reconstructed_from_paper
274,0.251626,0.355450,0.327123,reconstructed_from_paper
275,0.239122,0.363703,0.373902,reconstructed_from_paper
276,0.236979,0.343607,0.352724,reconstructed_from_paper
277,0.239049,0.346824,0.368409,reconstructed_from_paper
278,0.233088,0.367580,0.324251,reconstructed_from_paper
279,0.246703,0.344959,0.345082,reconstructed_from_paper
280,0.238025,0.357959,0.350614,reconstructed_from_paper
281,0.252800,0.369567,0.326934,reconstructed_from_paper
282,0.229161,0.350173,0.341557,reconstructed_from_paper
283,0.254230,0.364679,0.361216,reconstructed_from_paper
284,0.246382,0.341685,0.366691,reconstructed_from_paper
285,0.235552,0.352950,0.374748,reconstructed_from_paper
286,0.260427,0.349769,0.335232,reconstructed_from_paper
287,0.252296,0.352310,0.326432,reconstructed_from_paper
288,0.235575,0.364714,0.356984,reconstructed_from_paper
289,0.248637,0.380056,0.363505,reconstructed_from_paper
290,0.259997,0.343605,0.351346,reconstructed_from_paper
291,0.254115,0.344896,0.327232,reconstructed_from_paper
292,0.266123,0.357967,0.360365,reconstructed_from_paper
293,0.266691,0.339530,0.360328,reconstructed_from_paper
294,0.266817,0.358344,0.356294,reconstructed_from_paper
295,0.264617,0.359424,0.339440,reconstructed_from_paper
296,0.274534,0.349407,0.351889,reconstructed_from_paper
297,0.269321,0.359281,0.359466,reconstructed_from_paper
298,0.268292,0.334479,0.337664,reconstructed_from_paper
299,0.246323,0.362347,0.316892,reconstructed_from_paper
300,0.273993,0.334843,0.351436,reconstructed_from_paper
301,0.278551,0.345170,0.353659,reconstructed_from_paper
302,0.264935,0.346994,0.345967,reconstructed_from_paper
303,0.264220,0.348990,0.359761,reconstructed_from_paper
304,0.286744,0.364239,0.335933,reconstructed_from_paper
305,0.254292,0.355039,0.343786,reconstructed_from_paper
306,0.275166,0.349409,0.340003,reconstructed_from_paper
307,0.293589,0.360815,0.353810,reconstructed_from_paper
308,0.264253,0.373378,0.369981,reconstructed_from_paper
309,0.279632,0.354581,0.340212,reconstructed_from_paper
310,0.291225,0.358996,0.376892,reconstructed_from_paper
311,0.273984,0.369578,0.368257,reconstructed_from_paper
312,0.280934,0.358006,0.356225,reconstructed_from_paper
313,0.284820,0.339471,0.352746,reconstructed_from_paper
314,0.269356,0.384842,0.371467,reconstructed_from_paper
315,0.277515,0.381535,0.340026,reconstructed_from_paper
316,0.281758,0.331289,0.340903,reconstructed_from_paper
317,0.287355,0.354706,0.325474,reconstructed_from_paper
318,0.280417,0.360247,0.349820,reconstructed_from_paper
319,0.279768,0.366888,0.363553,reconstructed_from_paper
320,0.273177,0.363383,0.350335,reconstructed_from_paper
321,0.279883,0.352141,0.348367,reconstructed_from_paper
322,0.291929,0.342809,0.338167,reconstructed_from_paper
323,0.285607,0.356735,0.343873,reconstructed_from_paper
324,0.277798,0.367941,0.318140,reconstructed_from_paper
325,0.278683,0.342502,0.357505,reconstructed_from_paper
326,0.311036,0.343285,0.333947,reconstructed_from_paper
327,0.298071,0.355346,0.322616,reconstructed_from_paper
328,0.294321,0.332418,0.328051,reconstructed_from_paper
329,0.266018,0.352568,0.326666,reconstructed_from_paper
330,0.295715,0.350474,0.353328,reconstructed_from_paper
331,0.295212,0.361139,0.356360,reconstructed_from_paper
332,0.306804,0.347323,0.317492,reconstructed_from_paper
333,0.296255,0.345170,0.353824,reconstructed_from_paper
334,0.292554,0.351034,0.353001,reconstructed_from_paper
335,0.298615,0.355171,0.329311,reconstructed_from_paper
336,0.277165,0.347797,0.314586,reconstructed_from_paper
337,0.304708,0.355919,0.326234,reconstructed_from_paper
338,0.299076,0.364774,0.327811,reconstructed_from_paper
339,0.290574,0.369989,0.343225,reconstructed_from_paper
340,0.309559,0.376219,0.331816,reconstructed_from_paper
341,0.314647,0.346349,0.304881,reconstructed_from_paper
342,0.286473,0.350703,0.340867,reconstructed_from_paper
343,0.293825,0.325932,0.312378,reconstructed_from_paper
344,0.303168,0.378503,0.351211,reconstructed_from_paper
345,0.302919,0.346997,0.317213,reconstructed_from_paper
346,0.298400,0.355273,0.325237,reconstructed_from_paper
347,0.293934,0.361923,0.322456,reconstructed_from_paper
348,0.322498,0.339326,0.327246,reconstructed_from_paper
349,0.313459,0.361171,0.356500,reconstructed_from_paper
350,0.294080,0.355260,0.349169,reconstructed_from_paper
351,0.293426,0.333636,0.344971,reconstructed_from_paper
352,0.321558,0.359023,0.340260,reconstructed_from_paper
353,0.315828,0.369822,0.310196,reconstructed_from_paper
354,0.324007,0.333041,0.326441,reconstructed_from_paper
355,0.315599,0.365107,0.325755,reconstructed_from_paper
356,0.301146,0.357895,0.318757,reconstructed_from_paper
357,0.312023,0.361046,0.342357,reconstructed_from_paper
358,0.290916,0.360608,0.322170,reconstructed_from_paper
359,0.304300,0.370918,0.322488,reconstructed_from_paper
360,0.311176,0.352547,0.316954,reconstructed_from_paper
361,0.317081,0.365673,0.300565,reconstructed_from_paper
362,0.306495,0.350229,0.342831,reconstructed_from_paper
363,0.312588,0.363840,0.354424,reconstructed_from_paper
364,0.318493,0.345293,0.335752,reconstructed_from_paper
365,0.318413,0.353716,0.317156,reconstructed_from_paper
366,0.321418,0.375743,0.289329,reconstructed_from_paper
367,0.318207,0.360272,0.335207,reconstructed_from_paper
368,0.314058,0.352979,0.351732,reconstructed_from_paper
369,0.324719,0.341093,0.336860,reconstructed_from_paper
370,0.318701,0.345301,0.346773,reconstructed_from_paper
371,0.311458,0.357057,0.355426,reconstructed_from_paper
372,0.313893,0.365958,0.349643,reconstructed_from_paper
373,0.320154,0.359748,0.324390,reconstructed_from_paper
374,0.319797,0.360875,0.348131,reconstructed_from_paper
375,0.322820,0.354034,0.343545,reconstructed_from_paper
376,0.322022,0.370709,0.306386,reconstructed_from_paper
377,0.324226,0.349744,0.324339,reconstructed_from_paper
378,0.322048,0.347786,0.307890,reconstructed_from_paper
379,0.312541,0.364988,0.328771,reconstructed_from_paper
380,0.328266,0.355043,0.339622,reconstructed_from_paper
381,0.334560,0.350885,0.313134,reconstructed_from_paper
382,0.329589,0.347263,0.297182,reconstructed_from_paper
383,0.324570,0.351042,0.350703,reconstructed_from_paper
384,0.330885,0.361555,0.335816,reconstructed_from_paper
385,0.318766,0.358266,0.353183,reconstructed_from_paper
386,0.310978,0.339453,0.308325,reconstructed_from_paper
387,0.329163,0.359033,0.346334,reconstructed_from_paper
388,0.320832,0.356013,0.362411,reconstructed_from_paper
389,0.336442,0.341811,0.361207,reconstructed_from_paper
390,0.320600,0.363035,0.325598,reconstructed_from_paper
391,0.307270,0.350345,0.333133,reconstructed_from_paper
392,0.322138,0.349633,0.326231,reconstructed_from_paper
393,0.346259,0.363157,0.344541,reconstructed_from_paper
394,0.329180,0.369404,0.345043,reconstructed_from_paper
395,0.320849,0.345243,0.329704,reconstructed_from_paper
396,0.326856,0.358714,0.306442,reconstructed_from_paper
397,0.338965,0.342891,0.339921,reconstructed_from_paper
398,0.339295,0.381125,0.320425,reconstructed_from_paper
399,0.336958,0.347379,0.337884,reconstructed_from_paper
400,0.349262,0.367595,0.331914,reconstructed_from_paper
401,0.342803,0.345438,0.353565,reconstructed_from_paper
402,0.336789,0.362893,0.345673,reconstructed_from_paper
403,0.342878,0.379735,0.320140,reconstructed_from_paper
404,0.352927,0.322569,0.332828,reconstructed_from_paper
405,0.347301,0.347799,0.355357,reconstructed_from_paper
406,0.348294,0.358971,0.318425,reconstructed_from_paper
407,0.329852,0.351804,0.333849,reconstructed_from_paper
408,0.338776,0.344850,0.345859,reconstructed_from_paper
409,0.347191,0.378651,0.346811,reconstructed_from_paper
410,0.338462,0.353733,0.334894,reconstructed_from_paper
411,0.351254,0.333001,0.305371,reconstructed_from_paper
412,0.347503,0.362939,0.306217,reconstructed_from_paper
413,0.350808,0.331985,0.330252,reconstructed_from_paper
414,0.341218,0.366411,0.332391,reconstructed_from_paper
415,0.366538,0.345624,0.366860,reconstructed_from_paper
416,0.355269,0.354252,0.312218,reconstructed_from_paper
417,0.342656,0.367603,0.344110,reconstructed_from_paper
418,0.345892,0.353843,0.338139,reconstructed_from_paper
419,0.368913,0.335694,0.298975,reconstructed_from_paper
420,0.342943,0.331995,0.312536,reconstructed_from_paper
421,0.354372,0.366496,0.328199,reconstructed_from_paper
422,0.355799,0.361150,0.317554,reconstructed_from_paper
423,0.347500,0.342436,0.322892,reconstructed_from_paper
424,0.337400,0.362500,0.332800,reconstructed_from_paper
425,0.350053,0.358107,0.312242,reconstructed_from_paper
426,0.352057,0.359881,0.332572,reconstructed_from_paper
427,0.359444,0.324964,0.314847,reconstructed_from_paper
428,0.356774,0.348408,0.316232,reconstructed_from_paper
429,0.350395,0.362802,0.333456,reconstructed_from_paper
430,0.358303,0.360762,0.315612,reconstructed_from_paper
431,0.355922,0.362501,0.329305,reconstructed_from_paper
432,0.353357,0.322402,0.350223,reconstructed_from_paper
433,0.352435,0.353883,0.324991,reconstructed_from_paper
434,0.350181,0.357726,0.322147,reconstructed_from_paper
435,0.358977,0.382409,0.336175,reconstructed_from_paper
436,0.343741,0.340307,0.318489,reconstructed_from_paper
437,0.347995,0.347768,0.341593,reconstructed_from_paper
438,0.354119,0.352117,0.303672,reconstructed_from_paper
439,0.341317,0.362288,0.334026,reconstructed_from_paper
440,0.350985,0.346304,0.315868,reconstructed_from_paper
441,0.337241,0.365359,0.311215,reconstructed_from_paper
442,0.349584,0.342107,0.352243,reconstructed_from_paper
443,0.361253,0.354734,0.310262,reconstructed_from_paper
444,0.361638,0.345173,0.351907,reconstructed_from_paper
445,0.356451,0.353371,0.334270,reconstructed_from_paper
446,0.355251,0.343154,0.346923,reconstructed_from_paper
447,0.344984,0.332249,0.307986,reconstructed_from_paper
448,0.374578,0.364505,0.342737,reconstructed_from_paper
449,0.363161,0.355002,0.346803,reconstructed_from_paper
450,0.368745,0.344630,0.321574,reconstructed_from_paper
451,0.351348,0.353719,0.321315,reconstructed_from_paper
452,0.358003,0.363163,0.362619,reconstructed_from_paper
453,0.343673,0.339526,0.326107,reconstructed_from_paper
454,0.367449,0.349906,0.316451,reconstructed_from_paper
455,0.369213,0.357676,0.313080,reconstructed_from_paper
456,0.344091,0.357496,0.330240,reconstructed_from_paper
457,0.361066,0.347134,0.328341,reconstructed_from_paper
458,0.367573,0.325850,0.325844,reconstructed_from_paper
459,0.346404,0.366026,0.350496,reconstructed_from_paper
460,0.346193,0.355028,0.317657,reconstructed_from_paper
461,0.353393,0.351223,0.330424,reconstructed_from_paper
462,0.357670,0.347702,0.346153,reconstructed_from_paper
463,0.351059,0.354184,0.306695,reconstructed_from_paper
464,0.364319,0.345894,0.339331,reconstructed_from_paper
465,0.366627,0.338684,0.351979,reconstructed_from_paper
466,0.370431,0.342083,0.300945,reconstructed_from_paper
467,0.371384,0.343778,0.305016,reconstructed_from_paper
468,0.378928,0.343572,0.305918,reconstructed_from_paper
469,0.376220,0.336997,0.292949,reconstructed_from_paper
470,0.354267,0.358518,0.329691,reconstructed_from_paper
471,0.361857,0.335146,0.292707,reconstructed_from_paper
472,0.357193,0.358762,0.330346,reconstructed_from_paper
473,0.357371,0.338652,0.345575,reconstructed_from_paper
474,0.366652,0.355040,0.296442,reconstructed_from_paper
475,0.367754,0.367281,0.317182,reconstructed_from_paper
476,0.372437,0.353215,0.291520,reconstructed_from_paper
477,0.354058,0.341990,0.334637,reconstructed_from_paper
478,0.357515,0.351322,0.310335,reconstructed_from_paper
479,0.368758,0.352505,0.317843,reconstructed_from_paper
480,0.367480,0.329906,0.322931,reconstructed_from_paper
481,0.366780,0.343404,0.330747,reconstructed_from_paper
482,0.369317,0.352637,0.316442,reconstructed_from_paper
483,0.363350,0.345035,0.322198,reconstructed_from_paper
484,0.376799,0.351608,0.313177,reconstructed_from_paper
485,0.373973,0.359445,0.323724,reconstructed_from_paper
486,0.370290,0.359822,0.303096,reconstructed_from_paper
487,0.365324,0.361478,0.322843,reconstructed_from_paper
488,0.370095,0.357659,0.290878,reconstructed_from_paper
489,0.347457,0.347128,0.313920,reconstructed_from_paper
490,0.363405,0.350349,0.352378,reconstructed_from_paper
491,0.372856,0.347304,0.322976,reconstructed_from_paper
492,0.359265,0.346786,0.301514,reconstructed_from_paper
493,0.374877,0.348377,0.325759,reconstructed_from_paper
494,0.374685,0.329825,0.306058,reconstructed_from_paper
495,0.361235,0.346511,0.295168,reconstructed_from_paper
496,0.371650,0.350209,0.309777,reconstructed_from_paper
497,0.371352,0.338799,0.333324,reconstructed_from_paper
